ProjectName,ProjectKey,Scenario,Status,PredictionModelName,InferenceMode,MetricNote,Total,TP,TN,FP,FN,Accuracy,Precision,Recall,F1Score,FalsePositiveRatio
Dummy1,Dummy1-3BD1A055,CodeBERT,CODEBERT_FAILED,,PYTHON_BRIDGE,Prediksi CodeBERT tidak tersedia karena Python inference gagal. Skenario ini tidak dimasukkan ke confusion matrix.,0,0,0,0,0,0,0,0,0,0
Dummy1,Dummy1-3BD1A055,RAG-LLM,SUCCESS,gemini-2.5-pro,GEMINI_API,Metrics calculated from model predictions and ground truth labels.,3,0,3,0,0,1,0,0,0,0
Dummy1,Dummy1-3BD1A055,Zero-Shot,SUCCESS,gemini-2.5-pro,GEMINI_API,Metrics calculated from model predictions and ground truth labels.,3,0,3,0,0,1,0,0,0,0
Dummy2,Dummy2-23B2CD34,CodeBERT,CODEBERT_FAILED,,PYTHON_BRIDGE,Prediksi CodeBERT tidak tersedia karena Python inference gagal. Skenario ini tidak dimasukkan ke confusion matrix.,0,0,0,0,0,0,0,0,0,0
Dummy2,Dummy2-23B2CD34,RAG-LLM,SUCCESS,gemini-2.5-pro,GEMINI_API,Metrics calculated from model predictions and ground truth labels.,4,1,3,0,0,1,1,1,1,0
Dummy2,Dummy2-23B2CD34,Zero-Shot,SUCCESS,gemini-2.5-pro,GEMINI_API,Metrics calculated from model predictions and ground truth labels.,4,0,3,0,1,0.75,0,0,0,0
Dummy3,Dummy3-0B93FA13,CodeBERT,CODEBERT_FAILED,,PYTHON_BRIDGE,Prediksi CodeBERT tidak tersedia karena Python inference gagal. Skenario ini tidak dimasukkan ke confusion matrix.,0,0,0,0,0,0,0,0,0,0
Dummy3,Dummy3-0B93FA13,RAG-LLM,SUCCESS,gemini-2.5-pro,GEMINI_API,Metrics calculated from model predictions and ground truth labels.,43,3,36,4,0,0.9069767441860465,0.42857142857142855,1,0.6,0.5714285714285714
Dummy3,Dummy3-0B93FA13,Zero-Shot,SUCCESS,gemini-2.5-pro,GEMINI_API,Metrics calculated from model predictions and ground truth labels.,43,1,15,25,2,0.37209302325581395,0.038461538461538464,0.3333333333333333,0.06896551724137931,0.9615384615384616
